"listing_id","host_id","is_superhost","latitude","longitude","accommodates","bathrooms","bedrooms","beds","square_feet","guests_included","min_nights","reviews","overall_rating","accuracy_rating","cleanliness_rating","checkin_rating","communication_rating","location_rating","value_rating","instant_bookable","price","price_per_person","price_per_bedroom","distance_to_center_km","host_days","host_years","room_type_entire","room_type_private","room_type_shared","has_reviews","days_since_last_review","review_period","reviews_per_month","avg_rating","rating_range","guests_vs_capacity","business_ready","demand_proxy_reviews","demand_proxy","avg_neighborhood_price","avg_neighborhood_reviews","listing_count","price_to_neighborhood_ratio","reviews_to_neighborhood_ratio","listing_name","host_name","host_since","host_response_time","host_response_rate","neighbourhood","neighborhood_group","city","postal_code","country_code","country","is_exact_location","property_type","room_type","first_review","last_review","business_travel_ready","price_tier","min_nights_category","simulation_var","predicted_demand"
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,1,0,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,57.595567867036,19.396685655101,1805,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Neuk̦lln","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Apartment","Entire home/apt","2019-05-13","2019-04-28","f","economy","short_stay","Apartment Entire home/apt",0.0710739628280078
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,1,0,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,57.595567867036,19.396685655101,1805,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Neuk̦lln","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","House","Entire home/apt","2019-05-13","2019-04-28","f","economy","short_stay","House Entire home/apt",0.099075553496049
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,1,0,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,57.595567867036,19.396685655101,1805,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Neuk̦lln","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Condominium","Entire home/apt","2019-05-13","2019-04-28","f","economy","short_stay","Condominium Entire home/apt",0.0823593487631111
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,1,0,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,57.595567867036,19.396685655101,1805,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Neuk̦lln","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Loft","Entire home/apt","2019-05-13","2019-04-28","f","economy","short_stay","Loft Entire home/apt",0.101582023087206
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,1,0,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,57.595567867036,19.396685655101,1805,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Neuk̦lln","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Serviced apartment","Entire home/apt","2019-05-13","2019-04-28","f","economy","short_stay","Serviced apartment Entire home/apt",0.117523217767124
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,57.595567867036,19.396685655101,1805,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Neuk̦lln","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay","Apartment Private room",0.0750796791537334
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,57.595567867036,19.396685655101,1805,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Neuk̦lln","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","House","Private room","2019-05-13","2019-04-28","f","economy","short_stay","House Private room",0.0956646859262693
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,57.595567867036,19.396685655101,1805,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Neuk̦lln","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Condominium","Private room","2019-05-13","2019-04-28","f","economy","short_stay","Condominium Private room",0.0900332860830668
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,57.595567867036,19.396685655101,1805,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Neuk̦lln","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Loft","Private room","2019-05-13","2019-04-28","f","economy","short_stay","Loft Private room",0.112703336421725
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,57.595567867036,19.396685655101,1805,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Neuk̦lln","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Serviced apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay","Serviced apartment Private room",0.117873841824695
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,0,0,1,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,57.595567867036,19.396685655101,1805,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Neuk̦lln","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Apartment","Shared room","2019-05-13","2019-04-28","f","economy","short_stay","Apartment Shared room",0.0764237182337431
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,0,0,1,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,57.595567867036,19.396685655101,1805,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Neuk̦lln","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","House","Shared room","2019-05-13","2019-04-28","f","economy","short_stay","House Shared room",0.0997758593724222
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,0,0,1,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,57.595567867036,19.396685655101,1805,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Neuk̦lln","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Condominium","Shared room","2019-05-13","2019-04-28","f","economy","short_stay","Condominium Shared room",0.0902463587303657
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,0,0,1,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,57.595567867036,19.396685655101,1805,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Neuk̦lln","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Loft","Shared room","2019-05-13","2019-04-28","f","economy","short_stay","Loft Shared room",0.108552221220049
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,49,20,42,5.4197312668385,3605,9.87671232876712,0,0,1,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,57.595567867036,19.396685655101,1805,0.835167956821249,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Neuk̦lln","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Serviced apartment","Shared room","2019-05-13","2019-04-28","f","economy","short_stay","Serviced apartment Shared room",0.122714580837315
